Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.73,-13.61,-31.99,-27.65
45,1.09,-15.45,-30.98,-32.93
50,0.82,-16.53,-31.49,-36.02
60,0.84,-17.61,-32.10,-37.91
70,0.81,-19.51,-32.43,-40.24
80,0.60,-21.29,-33.94,-42.88
90,0.43,-21.83,-35.77,-45.10
100,0.50,-21.73,-36.05,-46.46
120,0.68,-21.62,-35.37,-47.21
140,0.70,-20.98,-35.40,-48.16
160,0.58,-20.17,-36.11,-49.09
180,0.50,-20.41,-36.53,-48.98
200,0.54,-21.35,-36.56,-48.24
220,0.61,-21.61,-36.66,-47.79
240,0.64,-21.23,-36.89,-47.12
260,0.66,-21.24,-37.09,-46.01
280,0.70,-21.85,-37.26,-45.45
300,0.75,-22.53,-37.56,-45.66
320,0.76,-22.84,-38.17,-45.82
340,0.69,-22.63,-38.86,-45.58
360,0.63,-21.97,-38.93,-45.09
380,0.64,-21.09,-38.47,-44.32
400,0.66,-20.25,-38.38,-43.38
420,0.62,-20.05,-38.67,-42.91
440,0.57,-20.72,-38.38,-43.25
460,0.53,-21.28,-37.71,-43.69
480,0.48,-20.85,-38.27,-43.50
500,0.45,-20.22,-40.30,-43.00
520,0.45,-20.51,-41.86,-42.76
540,0.43,-21.24,-41.43,-42.76
560,0.36,-21.16,-39.97,-42.93
580,0.26,-20.35,-39.91,-43.56
600,0.19,-20.00,-42.07,-44.52
620,0.19,-20.63,-44.47,-45.06
640,0.21,-21.42,-44.64,-44.89
660,0.19,-21.41,-42.24,-44.79
680,0.12,-20.68,-39.64,-45.32
700,0.03,-19.94,-39.47,-45.84
720,-0.03,-19.75,-41.52,-45.74
740,-0.05,-20.26,-43.44,-45.38
760,-0.02,-21.10,-44.16,-45.26
780,-0.02,-21.61,-44.03,-45.70
800,-0.06,-21.53,-42.80,-46.87
820,-0.12,-21.15,-40.62,-48.05
840,-0.16,-20.87,-39.29,-48.13
860,-0.19,-21.06,-40.09,-47.38
880,-0.21,-21.71,-42.01,-47.21
900,-0.20,-22.23,-43.43,-48.41
920,-0.23,-22.16,-43.96,-50.64
940,-0.32,-21.72,-43.72,-52.35
960,-0.39,-21.37,-42.58,-51.73
980,-0.41,-21.19,-41.01,-49.45
1000,-0.40,-21.03,-40.04,-48.17
1100,-0.42,-20.79,-39.99,-48.42
1200,-0.48,-20.55,-40.13,-48.54
1300,-0.55,-20.39,-39.85,-48.09
1400,-0.60,-20.32,-39.22,-47.92
1500,-0.64,-20.28,-38.56,-47.96
1600,-0.66,-20.28,-38.08,-47.60
1700,-0.69,-20.33,-37.98,-47.18
1800,-0.73,-20.27,-38.36,-47.14
1900,-0.78,-20.05,-38.61,-46.78
2000,-0.82,-20.07,-37.62,-45.37
2100,-0.88,-20.38,-35.47,-43.71
2200,-0.97,-20.41,-34.09,-43.22
2300,-1.05,-20.10,-34.89,-43.78
2400,-1.06,-20.22,-36.70,-44.02
2500,-1.04,-20.89,-37.33,-43.39
2600,-1.10,-21.17,-36.21,-42.75
2700,-1.21,-20.65,-34.30,-42.70
2800,-1.27,-20.25,-32.62,-42.37
2900,-1.26,-20.78,-31.77,-40.89
3000,-1.25,-21.79,-31.39,-39.14
3100,-1.31,-22.17,-30.61,-38.92
3200,-1.40,-21.63,-29.84,-40.64
3300,-1.44,-20.96,-29.93,-43.13
3400,-1.40,-20.96,-30.26,-44.92
3500,-1.33,-21.72,-30.00,-44.92
3600,-1.30,-22.53,-29.80,-43.12
3700,-1.34,-22.64,-30.11,-41.22
3800,-1.41,-22.14,-30.07,-41.04
3900,-1.45,-21.67,-29.26,-42.21
4000,-1.39,-21.63,-28.46,-43.06
4100,-1.30,-22.08,-28.29,-43.11
4200,-1.23,-22.95,-28.68,-43.37
4300,-1.19,-23.60,-29.60,-44.57
4400,-1.21,-23.35,-30.62,-45.89
4500,-1.32,-22.59,-30.67,-45.77
4600,-1.37,-22.12,-29.34,-43.80
4700,-1.26,-21.91,-27.77,-41.77
4800,-1.11,-21.60,-27.09,-41.37
4900,-1.16,-21.60,-27.19,-41.71
5000,-1.34,-22.29,-27.39,-41.24
5100,-1.41,-22.92,-27.61,-40.62
5200,-1.34,-22.68,-27.88,-41.02
5300,-1.30,-22.00,-27.87,-41.52
5400,-1.30,-21.68,-27.53,-40.87
5500,-1.22,-21.64,-27.01,-39.77
5600,-1.08,-21.39,-25.97,-39.55
5700,-0.96,-21.09,-24.59,-40.27
5800,-0.92,-21.26,-24.02,-41.12
5900,-0.90,-21.88,-24.79,-41.74
6000,-0.83,-22.29,-26.01,-42.26
6100,-0.77,-22.08,-26.78,-42.50
6200,-0.79,-21.47,-27.13,-41.99
6300,-0.87,-20.96,-27.37,-40.94
6400,-0.89,-20.70,-27.60,-40.19
6500,-0.81,-20.49,-27.84,-40.09
6600,-0.67,-20.16,-28.03,-40.50
6700,-0.57,-19.81,-28.10,-41.85
6800,-0.53,-19.65,-28.04,-44.34
6900,-0.51,-19.81,-27.89,-46.55
7000,-0.46,-20.16,-27.74,-46.74
7100,-0.36,-20.36,-27.76,-45.04
7200,-0.27,-20.20,-28.09,-43.19
7300,-0.28,-19.72,-28.62,-42.70
7400,-0.35,-19.14,-28.80,-43.28
7500,-0.41,-18.72,-28.09,-43.22
7600,-0.40,-18.53,-26.70,-42.00
7700,-0.33,-18.44,-25.49,-41.26
7800,-0.22,-18.29,-24.92,-41.88
7900,-0.10,-18.04,-24.70,-42.42
8000,0.01,-17.79,-24.43,-41.91
8100,0.07,-17.71,-23.99,-41.73
8200,0.09,-17.89,-23.88,-43.24
8300,0.13,-18.20,-24.63,-45.45
8400,0.19,-18.37,-25.91,-46.43
8500,0.28,-18.31,-26.68,-45.66
8600,0.37,-18.11,-26.59,-44.21
8700,0.38,-17.89,-26.55,-43.48
8800,0.32,-17.73,-27.29,-43.67
8900,0.32,-17.64,-28.33,-43.72
9000,0.43,-17.60,-28.97,-42.92
9100,0.48,-17.55,-29.20,-41.84
9200,0.36,-17.60,-29.08,-41.60
9300,0.28,-17.85,-28.58,-42.73
9400,0.45,-18.09,-28.30,-44.45
9500,0.71,-17.96,-28.96,-45.17
9600,0.82,-17.56,-29.94,-44.39
9700,0.83,-17.39,-29.89,-43.55
9800,0.88,-17.69,-28.84,-43.81
9900,0.96,-18.03,-28.25,-44.38
10000,1.01,-18.01,-29.02,-43.86
10100,1.02,-17.75,-30.73,-42.42
10200,1.04,-17.54,-32.40,-41.48
10300,1.03,-17.41,-33.39,-41.88
10400,0.94,-17.34,-34.46,-42.97
10500,0.81,-17.48,-37.21,-43.31
10600,0.73,-17.93,-40.80,-42.54
10700,0.73,-18.58,-41.61,-41.77
10800,0.74,-19.34,-38.68,-41.78
10900,0.74,-20.14,-35.53,-41.79
11000,0.72,-20.61,-34.98,-41.02
11100,0.73,-20.24,-36.12,-40.04
11200,0.79,-19.33,-36.87,-39.96
11300,0.82,-18.83,-36.44,-40.86
11400,0.77,-19.15,-35.35,-41.94
11500,0.69,-19.95,-34.99,-42.64
11600,0.64,-20.88,-36.62,-42.77
11700,0.62,-21.78,-39.46,-42.21
11800,0.60,-22.51,-40.48,-41.43
11900,0.52,-23.10,-38.59,-40.75
12000,0.42,-23.63,-36.98,-39.72
12100,0.33,-24.29,-37.64,-38.67
12200,0.26,-25.13,-37.86,-38.94
12300,0.20,-25.79,-35.90,-40.47
12400,0.11,-25.87,-34.45,-41.52
12500,0.01,-25.88,-35.57,-41.32
12600,-0.07,-26.49,-37.59,-40.41
12700,-0.07,-27.30,-38.70,-39.21
12800,-0.06,-27.73,-39.59,-38.05
12900,-0.08,-27.99,-41.81,-37.68
13000,-0.15,-28.31,-44.76,-38.36
13100,-0.21,-28.21,-45.41,-39.54
13200,-0.25,-27.24,-42.50,-40.71
13300,-0.27,-25.76,-39.85,-41.59
13400,-0.29,-24.45,-41.60,-41.75
13500,-0.31,-23.52,-45.76,-41.19
13600,-0.35,-22.74,-47.30,-40.85
13700,-0.41,-22.12,-45.97,-41.28
13800,-0.49,-21.97,-46.00,-41.49
13900,-0.54,-22.27,-48.30,-40.47
14000,-0.52,-22.48,-48.63,-38.96
14100,-0.45,-22.32,-44.72,-38.87
14200,-0.44,-22.02,-39.91,-40.99
14300,-0.51,-21.97,-37.89,-43.83
14400,-0.64,-22.19,-38.18,-45.23
14500,-0.76,-22.31,-38.50,-45.27
14600,-0.80,-21.98,-38.36,-46.06
14700,-0.82,-21.36,-38.58,-47.89
14800,-0.96,-20.96,-38.92,-48.56
14900,-1.23,-20.99,-38.31,-47.64
15000,-1.40,-21.11,-37.07,-47.63
15100,-1.34,-20.96,-36.49,-50.04
15200,-1.28,-20.75,-36.67,-53.41
15300,-1.38,-20.74,-36.94,-56.26
15400,-1.50,-20.70,-37.40,
15500,-1.52,-20.36,-38.17,
15600,-1.51,-19.94,-39.04,
15700,-1.55,-19.78,-40.56,
15800,-1.60,-19.90,-42.57,
15900,-1.68,-20.18,-42.84,
16000,-1.77,-20.49,-40.33,
16100,-1.83,-20.68,-37.48,
16200,-1.87,-20.79,-37.06,
16300,-1.99,-21.05,-39.23,
16400,-2.16,-21.65,-41.81,
16500,-2.22,-22.41,-42.18,
16600,-2.14,-22.96,-39.74,
16700,-2.09,-23.16,-36.59,
16800,-2.18,-23.25,-35.82,
16900,-2.37,-23.46,-38.34,
17000,-2.56,-23.74,-41.58,
17100,-2.66,-23.93,-42.35,
17200,-2.62,-23.91,-40.56,
17300,-2.54,-23.57,-38.67,
17400,-2.61,-23.05,-38.81,
17500,-2.89,-22.67,-40.68,
17600,-3.20,-22.56,-41.51,
17700,-3.37,-22.53,-39.47,
17800,-3.43,-22.42,-36.62,
17900,-3.46,-22.29,-35.69,
18000,-3.51,-22.43,-36.13,
18100,-3.60,-22.99,-36.14,
18200,-3.73,-23.71,-35.77,
18300,-3.88,-24.30,-35.49,
18400,-3.99,-25.00,-34.76,
18500,-4.05,-26.08,-33.41,
18600,-4.15,-27.07,-32.35,
18700,-4.32,-28.22,-32.13,
18800,-4.46,-31.48,-32.45,
18900,-4.47,-36.47,-32.74,
19000,-4.35,-38.21,-32.28,
19100,-4.24,-34.31,-30.62,
19200,-4.23,-29.64,-28.59,
19300,-4.25,-28.99,-27.58,
19400,-4.26,-30.96,-27.58,
19500,-4.29,-32.13,,
19600,-4.36,-32.26,,
19700,-4.36,-33.51,,
19800,-4.24,-35.96,,
19900,-4.13,,,
20000,-4.10,,,
